season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
2,S2-PO-007,3,2018-11-18,EVOS Esports,RRQ.O2,RRQ.O2,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-008,1,2018-11-18,Louvre Esports,ONIC Esports,Louvre Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-008,2,2018-11-18,Louvre Esports,ONIC Esports,ONIC Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-008,3,2018-11-18,Louvre Esports,ONIC Esports,ONIC Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-009,1,2018-11-18,ONIC Esports,EVOS Esports,EVOS Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-009,2,2018-11-18,ONIC Esports,EVOS Esports,ONIC Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-009,3,2018-11-18,ONIC Esports,EVOS Esports,EVOS Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-010,1,2018-11-18,RRQ.O2,EVOS Esports,RRQ.O2,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-010,2,2018-11-18,RRQ.O2,EVOS Esports,RRQ.O2,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-010,3,2018-11-18,RRQ.O2,EVOS Esports,RRQ.O2,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
